index,position_mm,diameter_mm,predicted_lpm
1,14.71,30.00,17.31
2,29.41,30.00,17.17
3,44.12,30.00,17.03
4,58.82,30.00,16.89
5,73.53,30.00,16.75
6,88.24,30.00,16.60
7,102.94,30.00,16.46
8,117.65,30.00,16.31
9,132.35,30.00,16.17
10,147.06,30.00,16.02
11,161.76,30.00,15.87
12,176.47,30.00,15.72
13,191.18,30.00,15.57
14,205.88,30.00,15.41
15,220.59,30.00,15.26
16,235.29,30.00,15.10
17,250.00,30.00,14.94
18,264.71,30.00,14.78
19,279.41,30.00,14.62
20,294.12,30.00,14.45
21,308.82,30.00,14.29
22,323.53,30.00,14.12
23,338.24,30.00,13.95
24,352.94,30.00,13.78
25,367.65,30.00,13.60
26,382.35,30.00,13.43
27,397.06,30.00,13.25
28,411.76,30.00,13.06
29,426.47,30.00,12.88
30,441.18,30.00,12.69
31,455.88,30.00,12.50
32,470.59,30.00,12.31
33,485.29,30.00,12.12
34,500.00,30.00,11.92
35,514.71,30.00,11.72
36,529.41,30.00,11.51
37,544.12,30.00,11.30
38,558.82,30.00,11.09
39,573.53,30.00,10.87
40,588.24,30.00,10.65
41,602.94,30.00,10.42
42,617.65,30.00,10.19
43,632.35,30.00,9.95
44,647.06,30.00,9.71
45,661.76,30.00,9.46
46,676.47,30.00,9.21
47,691.18,30.00,8.94
48,705.88,30.00,8.67
49,720.59,30.00,8.39
50,735.29,30.00,8.10
